Date,dis.prev.mean,GE.prev.mean,daily_avg_temp,monthly_avg_temp
2013-09-13,6.093,1.875,25.4566,25.26673667
2013-10-28,0,1.339,22.5332,23.32659032
2013-11-27,0,0.938,20.1728,21.11194667
2013-12-24,0,1.25,18.0547,18.66624194
2014-02-07,0,1.562,15.8767,15.81698571
2014-03-04,0,0.781,15.8356,16.09222903
2014-04-22,0,1.719,17.6676,17.30281667
2014-05-19,0,1.719,19.5177,19.30668387
2014-06-16,0.167,0.469,21.6533,21.61392333
2014-07-17,0,0.312,24.2681,24.1559
2014-08-04,0,0.156,25.7236,26.0356129
2014-10-03,2.505,4.219,24.1668,23.32659032
2014-11-10,0.125,2.656,21.5687,21.11194667
2014-12-08,0,0,19.2583,18.66624194
2015-01-08,0,0.312,17.1551,16.7566
2015-02-16,0,0.469,15.7514,15.81698571
2015-03-06,0,0,15.8642,16.09222903
2015-04-15,0,0,17.2387,17.30281667
2015-05-11,0,0.469,18.9093,19.30668387
2015-07-06,0,0.347,23.211,24.1559
2015-08-05,0,1.094,25.7796,26.0356129
2015-09-23,0.381,9.028,24.8207,25.26673667
2015-10-19,2.79,2.778,23.1483,23.32659032
2015-11-24,8.571,3.125,20.4293,21.11194667
2015-12-22,0,1.562,18.194,18.66624194
2016-01-21,0,0,16.4798,16.7566
2016-02-24,0,0.156,15.7511,15.81607241
2016-03-18,0,0.469,16.1097,16.09222903
2016-04-21,0,0,17.604,17.30281667
2016-05-23,0,0.625,19.824,19.30668387
2016-07-12,0,2.188,23.7786,24.1559
2016-09-05,3.539,4.375,25.8688,25.26673667
2016-10-20,7.51,2.344,23.0818,23.32659032
2016-11-22,0.545,1.562,20.5944,21.11194667
2016-12-20,0.423,1.094,18.3394,18.66624194
2017-01-01,0,1.094,17.5588,16.7566
2017-02-01,0,0.156,16.0491,15.81698571
2017-03-16,0,0.469,16.0611,16.09222903
2017-05-15,0,0.469,19.2097,19.30668387
2017-06-27,0,0.694,22.4387,21.61392333
2017-07-31,0,0.347,25.4721,24.1559
2017-08-25,0.26,2.778,26.1879,26.0356129
2017-09-26,0.087,4.34,24.6289,25.26673667
2017-10-20,6.902,2.778,23.0818,23.32659032
2017-12-11,0.076,1.215,19.0285,18.66624194
2018-01-30,0,0.347,16.1178,16.7566
2018-02-21,0,0,15.7409,15.81698571
2018-03-19,0,0,16.1352,16.09222903
2018-04-23,0,0.868,17.7315,17.30281667
2018-05-28,0,1.406,20.213,19.30668387
2018-06-25,0,0.625,22.2837,21.61392333
2018-07-27,0,2.031,25.1783,24.1559
2018-08-18,0.271,4.844,26.1943,26.0356129
2018-11-02,0.537,1.875,22.1822,21.11194667
2018-12-03,0,1.25,19.6569,18.66624194
2019-01-10,0,1.719,17.0396,16.7566
2019-02-08,0,0,15.8545,15.81698571
2019-02-28,0,0,15.7807,16.09222903
2019-04-02,0,0,16.5823,17.30281667
2019-05-13,0,0.156,19.0571,19.30668387
2019-05-28,0,0,20.213,21.61392333
2019-07-02,0,0.156,22.8565,24.1559
2019-08-05,0,0.156,25.7796,26.0356129
2019-09-02,0.037,0.781,25.9912,25.26673667
2019-10-07,0.11,2.344,23.9026,23.32659032
2019-11-15,0.101,1.25,21.1575,21.11194667
2019-12-08,0,0.156,19.2583,18.66624194
2020-02-12,0,0.312,15.7868,15.81607241
2020-03-06,0,0.156,15.8642,16.09222903
2020-06-05,0,0.938,20.8599,21.61392333
2020-07-16,0,0.781,24.1699,24.1559
2020-08-19,0,5.625,26.2032,26.0356129
2020-09-15,1.923,3.75,25.3364,25.26673667
2020-10-14,0.297,6.562,23.4691,23.32659032
2020-11-16,0,6.25,21.0774,21.11194667
2020-12-08,0,2.344,19.2583,19.071185
